Player,Tm,Pos,GP,G,A,+/-,PIM,PP,SH,GW,PP,SH,S,TOI,BLK,HIT,FOW,FOL,-9999
Matt Kiersted,FLA,D,12,1,1,3,4,0,0,0,0,0,11,129,2,10,0,0,kiersma01
John Klingberg,ANA,D,21,1,7,-14,10,0,0,0,3,0,30,480,24,22,0,0,klingjo01
Cole Koepke,TBL,LW,17,1,0,-5,2,0,0,0,0,0,12,155,5,32,0,0,koepkco01
Johnathan Kovacevic,MTL,D,23,1,3,5,10,0,0,0,0,0,33,395,24,26,0,0,kovacjo01
Vitali Kravtsov,NYR,RW,10,1,1,4,6,0,0,0,0,0,7,101,3,7,0,2,kravtvi01
Peyton Krebs,BUF,C,21,1,3,-4,14,0,0,0,0,0,14,250,4,17,34,55,krebspe01
Karson Kuhlman,SEA,C,14,1,2,3,0,0,0,1,0,0,13,136,6,8,0,0,kuhlmka01
Jakub Lauko,BOS,C,7,1,1,0,2,0,0,0,0,0,7,72,1,14,0,0,laukoja01
Curtis Lazar,VAN,C,17,1,1,-1,2,0,0,0,0,0,20,209,16,49,24,36,lazarcu01
Kris Letang,PIT,D,21,1,11,-7,8,1,0,0,2,0,44,502,34,44,0,0,letankr01
Oskar Lindblom,SJS,LW,29,1,4,-8,4,0,0,0,1,0,27,289,9,26,5,7,lindbos01
Matt Luff,DET,RW,7,1,0,-1,0,0,0,0,0,0,5,59,3,7,0,1,luffma01
Isac Lundestrom,ANA,C,24,1,5,-6,2,0,1,0,0,0,28,337,12,10,105,117,lundeis01
Beck Malenstyn,WSH,LW,5,1,1,2,2,0,0,1,0,0,4,43,2,15,1,0,malenbe01
Mike Matheson,MTL,D,9,1,5,-4,10,0,0,0,2,0,21,220,9,10,0,0,mathemi01
Jake McCabe,CHI,D,23,1,7,3,10,0,0,0,0,0,18,449,61,51,0,0,mccabja01
Michael McCarron,NSH,RW,15,1,1,-2,17,0,0,0,0,0,21,148,13,34,19,19,mccarmi01
Jonathon Merrill,MIN,D,22,1,5,-3,10,0,0,0,0,0,18,357,32,18,0,0,merrijo01
Ben Meyers,COL,F,5,1,0,-1,0,0,0,0,0,0,5,58,1,5,16,11,meyerbe01
Colin Miller,DAL,D,26,1,6,13,19,0,0,0,0,0,30,433,23,41,0,0,milleco02
K'Andre Miller,NYR,D,29,1,9,0,12,0,0,0,0,1,45,641,35,59,0,0,milleka01
Philippe Myers,TBL,D,11,1,2,0,4,0,0,0,0,0,21,127,6,31,0,0,myersph01
Vladislav Namestnikov,TBL,C,26,1,4,-7,11,0,0,0,2,0,39,339,9,39,44,75,namesvl01
Jake Neighbours,STL,LW,13,1,0,-10,4,0,0,0,0,0,14,156,4,12,2,5,neighja01
Joshua Norris,OTT,C,5,1,1,0,2,0,0,0,0,0,8,92,3,6,33,24,norrijo01
Liam O'Brien,ARI,C,25,1,3,1,36,0,0,0,0,0,14,300,14,89,2,4,obrieli01
Jordan Oesterle,DET,D,16,1,1,8,4,0,0,0,0,0,16,248,20,15,0,0,oestejo01
Colton Parayko,STL,D,24,1,6,-7,6,0,0,1,1,0,47,555,41,43,0,0,parayco01
Tanner Pearson,VAN,LW,14,1,4,-9,21,0,0,0,1,0,17,189,3,20,7,11,pearsta01
Michael Pezzetta,MTL,C,13,1,0,-3,7,0,0,0,0,0,16,105,1,33,4,4,pezzemi01
Rem Pitlick,MTL,C,10,1,0,-2,8,0,0,0,0,0,4,112,3,3,5,5,pitlire01
Tyler Pitlick,STL,C,18,1,1,-1,2,0,0,0,0,0,10,169,8,33,0,1,pitlity01
Ivan Provorov,PHI,D,28,1,11,-9,10,0,0,0,2,0,58,665,74,51,0,0,provoiv01
Jesse Puljujarvi,EDM,RW,28,1,5,-12,9,0,0,0,0,0,41,380,9,63,0,1,puljuje01
Ryan Pulock,NYI,D,28,1,11,12,4,0,0,0,3,0,37,562,49,50,0,0,pulocry01
Pavol Regenda,ANA,F,14,1,2,-3,4,0,0,0,0,0,17,148,13,8,1,1,regenpa01
Filip Roos,CHI,D,15,1,2,-7,4,0,0,0,0,0,17,245,17,11,0,0,roosfi01
Jack Roslovic,CBJ,C,23,1,9,-5,6,0,1,0,2,0,36,365,20,16,143,144,rosloja01
Dylan Samberg,WPG,D,18,1,2,2,8,0,0,0,0,0,16,273,38,26,0,0,sambedy01
Mattias Samuelsson,BUF,D,14,1,1,12,10,0,0,0,0,0,23,295,26,28,0,0,samuema02
Jake Sanderson,OTT,D,26,1,11,1,4,1,0,0,5,0,47,546,40,20,0,0,sandeja01
Zach Sanford,NSH,LW,8,1,1,-3,2,0,0,1,0,0,9,97,6,9,1,0,sanfoza01
David Savard,MTL,D,24,1,7,-4,18,0,0,1,0,0,24,535,74,19,0,0,savarda01
Kiefer Sherwood,NSH,RW,5,1,1,1,11,0,0,0,0,0,4,50,0,8,1,0,sherwki01
Jonas Siegenthaler,NJD,D,27,1,9,21,20,1,0,0,0,0,33,559,45,30,0,0,siegejo01
Radim Simek,SJS,D,25,1,0,-6,21,0,0,0,0,0,26,374,46,47,0,0,simekra01
Jaccob Slavin,CAR,D,26,1,6,6,4,0,0,0,0,0,52,590,36,19,0,0,slavija01
Craig Smith,BOS,C,14,1,2,1,6,0,0,0,1,0,18,140,3,13,0,1,smithcr01
Carson Soucy,SEA,D,26,1,4,5,27,0,0,0,0,0,28,432,28,56,0,0,soucyca01
Chris Tierney,FLA,C,2,1,1,2,0,0,0,0,0,0,1,19,2,0,4,3,tiernch01
Devon Toews,COL,D,23,1,14,4,4,0,0,0,2,0,40,565,42,16,0,0,toewsde01
Alexey Toropchenko,STL,RW,15,1,0,-3,6,0,0,0,0,0,19,156,3,36,0,0,toropal01
Yakov Trenin,NSH,C,19,1,3,0,6,0,0,0,0,0,30,269,9,43,4,4,treniya01
Juuso Valimaki,ARI,D,21,1,5,0,12,0,0,0,4,0,17,344,22,10,0,0,valimju01
Trevor van Riemsdyk,WSH,D,29,1,4,-1,11,0,0,0,1,0,21,512,52,11,0,0,vanritr01
Jakub Voracek,CBJ,RW,11,1,5,-7,0,1,0,0,0,0,17,176,7,2,1,2,voracja01
Jakub Vrana,DET,LW,2,1,1,1,0,0,0,0,0,0,5,23,0,2,0,1,vranaja01
Sean Walker,LAK,D,24,1,4,-6,12,0,0,0,0,0,32,355,27,25,0,0,walkese01
Jake Walman,DET,D,10,1,0,7,2,0,0,0,0,0,16,157,12,9,0,0,walmaja01
Austin Watson,OTT,LW,26,1,2,-5,27,0,0,0,0,0,22,252,18,69,2,6,watsoau01
Zach Whitecloud,VEG,D,29,1,5,0,23,0,0,0,0,0,26,491,54,48,0,0,whiteza01
Shane Wright,SEA,C,8,1,1,4,2,0,0,0,0,0,4,68,6,1,10,21,wrighsh01
Kailer Yamamoto,EDM,RW,16,1,5,6,4,0,0,1,0,0,21,263,5,27,0,0,yamamka01
Jakub Zboril,BOS,D,13,1,0,-1,2,0,0,1,0,0,8,176,11,13,0,0,zborija01
Nikita Alexandrov,STL,C,9,0,1,1,0,0,0,0,0,0,9,84,5,9,4,11,alexani01
Alexander Alexeyev,WSH,D,5,0,1,-1,2,0,0,0,0,0,3,61,8,6,0,0,alexeal01
Lias Andersson,LAK,C,1,0,0,-1,0,0,0,0,0,0,1,9,0,2,0,0,anderli01
Joel Armia,MTL,RW,15,0,2,-5,4,0,0,0,0,0,29,228,9,8,1,3,armiajo01
Nicolas Aube-Kubel,TOT,RW,10,0,0,-1,9,0,0,0,0,0,4,90,1,28,1,1,aubekni01
Cole Bardreau,NYI,F,1,0,0,0,2,0,0,0,0,0,0,7,0,2,0,0,bardrco01
Alex Barre-Boulet,TBL,F,1,0,0,0,0,0,0,0,0,0,1,10,0,0,0,1,barreal01
Gavin Bayreuther,CBJ,D,12,0,1,-2,6,0,0,0,0,0,13,181,19,14,0,0,bayrega01
Nathan Beaulieu,ANA,D,16,0,3,-4,28,0,0,0,0,0,8,203,29,16,0,0,beaulna01
Adam Beckman,MIN,LW,4,0,0,-1,0,0,0,0,0,0,6,38,1,2,0,0,beckmad01
Pierre-Edouard Bellemare,TBL,LW,24,0,2,-4,11,0,0,0,0,0,10,277,20,27,113,103,bellepi01
Kieffer Bellows,TOT,LW,12,0,0,-5,6,0,0,0,0,0,19,139,3,30,2,6,belloki01
Simon Benoit,ANA,D,24,0,1,-11,35,0,0,0,0,0,19,435,41,62,0,0,benoisi01
Tyler Benson,EDM,LW,2,0,0,0,0,0,0,0,0,0,0,13,0,2,0,0,bensoty01
Jacob Bernard-Docker,OTT,D,6,0,1,1,7,0,0,0,0,0,6,106,6,9,0,0,bernaja01
Tim Berni,CBJ,D,3,0,0,2,2,0,0,0,0,0,3,49,3,5,0,0,berniti01
William Bitten,STL,C,3,0,1,1,0,0,0,0,0,0,0,21,0,7,0,0,bittewi01
Anders Bjork,BUF,LW,1,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,bjorkan01
Tobias Bjornfot,LAK,D,2,0,1,0,0,0,0,0,0,0,2,32,1,2,0,0,bjornto01
Colin Blackwell,CHI,C,23,0,3,-6,2,0,0,0,0,1,27,286,11,25,8,8,blackco01
Sammy Blais,NYR,LW,26,0,5,3,4,0,0,0,0,0,21,260,8,90,0,2,blaissa01
Anton Blidh,COL,LW,9,0,0,-2,4,0,0,0,0,0,8,64,2,16,0,2,blidhan01
Zach Bogosian,TBL,D,8,0,0,-2,4,0,0,0,0,0,6,111,4,29,0,0,bogosza01
Adam Boqvist,CBJ,D,4,0,0,-1,0,0,0,0,0,0,3,64,4,2,0,0,boqviad01
Mark Borowiecki,NSH,D,4,0,0,0,12,0,0,0,0,0,1,40,1,5,0,0,borowma01
Robert Bortuzzo,STL,D,17,0,0,-1,15,0,0,0,0,0,11,196,15,20,0,0,borturo01
Shane Bowers,COL,C,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,bowersh01
Erik Brannstrom,OTT,D,26,0,3,-1,12,0,0,0,0,0,26,422,44,15,0,0,branner01
Justin Braun,PHI,D,26,0,0,1,17,0,0,0,0,0,21,438,29,29,0,0,braunju01
Guillaume Brisebois,VAN,D,3,0,1,1,0,0,0,0,0,0,3,51,4,1,0,0,brisegu01
Philip Broberg,EDM,D,8,0,1,-2,0,0,0,0,0,0,3,104,11,5,0,0,brobeph01
T.J. Brodie,TOR,D,16,0,3,2,4,0,0,0,0,1,18,338,24,17,0,0,broditj01
Jonas Brodin,MIN,D,20,0,4,-3,12,0,0,0,0,1,29,443,35,19,0,0,brodijo01
Jonny Brodzinski,NYR,C,3,0,0,1,0,0,0,0,0,0,5,26,0,4,17,9,brodzjo01
Connor Brown,WSH,RW,4,0,0,-3,0,0,0,0,0,0,2,67,1,6,2,3,brownco02
Logan Brown,STL,C,5,0,0,-2,0,0,0,0,0,0,5,46,2,5,4,14,brownlo01
Callahan Burke,COL,C,2,0,0,-1,0,0,0,0,0,0,2,18,2,1,2,4,burkeca01
Quinton Byfield,LAK,C,8,0,3,-1,4,0,0,0,0,0,5,94,2,4,31,33,byfiequ01
Drake Caggiula,PIT,LW,3,0,0,-1,0,0,0,0,0,0,2,22,1,5,0,1,caggidr01
Kyle Capobianco,WPG,D,3,0,0,0,0,0,0,0,0,0,1,38,1,6,0,0,capobky01
Brandon Carlo,BOS,D,22,0,4,12,14,0,0,0,0,1,34,409,31,47,0,0,carlobr01
Lucas Carlsson,FLA,D,2,0,0,-1,2,0,0,0,0,0,2,20,1,3,0,0,carlslu01
Sam Carrick,ANA,C,13,0,2,0,21,0,0,0,0,0,14,128,6,21,42,51,carrisa01
Jackson Cates,PHI,C,5,0,0,0,0,0,0,0,0,0,4,45,1,3,9,10,catesja01
Erik Cernak,TBL,D,22,0,4,0,14,0,0,0,0,0,18,443,46,74,0,0,cernaer01
Jalen Chatfield,CAR,D,26,0,0,-2,15,0,0,0,0,0,26,338,26,35,0,0,chatfja01
Jake Christiansen,CBJ,D,11,0,1,-4,2,0,0,0,0,0,12,160,13,10,0,0,chrisja01
Nick Cicek,SJS,D,10,0,4,-3,11,0,0,0,0,0,1,150,11,14,0,0,cicekni01
Anthony Cirelli,TBL,C,3,0,3,3,0,0,0,0,0,0,12,45,3,2,15,19,cirelan01
Kale Clague,BUF,D,7,0,1,-2,2,0,0,0,0,0,5,110,5,8,0,0,claguka01
Brandt Clarke,LAK,D,9,0,2,-1,6,0,0,0,1,0,11,123,14,3,0,0,clarkbr02
Kyle Clifford,TOR,LW,2,0,1,1,2,0,0,0,0,0,2,16,0,6,0,0,cliffky01
Dylan Coghlan,CAR,D,6,0,0,-1,2,0,0,0,0,0,10,85,3,7,0,0,coghldy01
Laurent Dauphin,ARI,C,1,0,0,0,0,0,0,0,0,0,1,8,0,0,4,1,dauphla01
Dylan DeMelo,WPG,D,22,0,6,4,12,0,0,0,0,2,23,402,24,41,0,0,demeldy01
Semyon Der-Arguchintsev,TOR,C,1,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,derarse01
Nick DeSimone,CGY,D,4,0,0,-4,2,0,0,0,0,0,4,45,4,2,0,0,desimni01
Brenden Dillon,WPG,D,26,0,5,2,42,0,0,0,0,1,34,513,35,73,0,0,dillobr01
Jonathan Drouin,MTL,LW,12,0,4,-4,0,0,0,0,2,0,11,161,3,6,3,4,drouijo01
Jack Drury,CAR,C,14,0,1,0,10,0,0,0,0,0,23,141,7,4,34,23,druryja01
Jamie Drysdale,ANA,D,8,0,0,-3,2,0,0,0,0,0,8,141,6,7,0,0,drysdja01
Brian Dumoulin,PIT,D,27,0,6,0,2,0,0,0,0,0,19,538,53,42,0,0,dumoubr01
Alexander Edler,LAK,D,25,0,5,-4,16,0,0,0,0,0,24,377,40,43,0,0,edleral01
Nikolaj Ehlers,WPG,LW,2,0,3,0,0,0,0,0,1,0,7,38,1,2,0,0,ehlerni01
Andreas Englund,COL,D,8,0,1,-3,5,0,0,0,0,0,4,94,6,32,0,0,engluan01
Jake Evans,MTL,C,26,0,4,-9,9,0,0,0,0,0,24,362,22,5,164,142,evansja02
Dante Fabbro,NSH,D,23,0,4,-1,16,0,0,0,0,0,30,367,27,28,0,0,fabbrda01
Casey Fitzgerald,BUF,D,18,0,1,-4,2,0,0,0,0,0,10,229,7,22,0,0,fitzgca01
Trey Fix-Wolansky,CBJ,RW,4,0,0,0,0,0,0,0,0,0,6,40,4,5,0,0,fixwotr01
Cale Fleury,SEA,D,3,0,0,1,0,0,0,0,0,0,4,41,4,8,0,0,fleurca01
Haydn Fleury,TBL,D,13,0,1,-1,2,0,0,0,0,0,14,155,10,18,0,0,fleurha01
Steven Fogarty,MIN,C,2,0,0,0,0,0,0,0,0,0,0,21,0,3,2,2,fogarst01
Gabriel Fortier,TBL,LW,1,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,fortiga01
Jean-Luc Foudy,COL,C,5,0,0,-3,6,0,0,0,0,0,10,57,1,1,0,3,foudyje01
Liam Foudy,CBJ,C,14,0,3,-9,4,0,0,0,0,0,7,151,3,12,0,3,foudyli01
Alex Galchenyuk,COL,C,4,0,0,-3,4,0,0,0,0,0,2,39,2,4,2,1,galchal01
Brendan Gaunce,CBJ,C,5,0,1,-1,2,0,0,0,0,0,9,52,2,4,33,23,gauncbr01
Glenn Gawdin,ANA,C,3,0,0,-1,0,0,0,0,0,0,3,29,3,4,8,14,gawdigl01
Dennis Gilbert,CGY,D,7,0,1,-1,15,0,0,0,0,0,5,78,6,18,0,0,gilbede01
David Gustafsson,WPG,C,25,0,3,3,2,0,0,0,0,1,24,256,12,10,54,75,gustada01
Erik Gustafsson,WSH,D,29,0,10,-8,15,0,0,0,4,0,40,556,29,22,0,0,gustaer02
Robert Hagg,DET,D,13,0,2,-8,10,0,0,0,0,0,19,204,17,36,0,0,haggro01
Filip Hallander,PIT,C,2,0,0,0,0,0,0,0,0,0,0,20,3,1,0,0,hallafi01
James Hamblin,EDM,F,6,0,0,-2,0,0,0,0,0,0,6,53,1,0,16,10,hamblja01
Joel Hanley,DAL,D,8,0,0,4,13,0,0,0,0,0,6,88,9,8,0,0,hanlejo01
Barrett Hayton,ARI,C,25,0,3,-11,10,0,0,0,1,0,38,373,6,34,149,142,haytoba01
Ville Heinola,WPG,D,2,0,0,-2,0,0,0,0,0,0,0,25,2,0,0,0,heinovi01
Vinnie Hinostroza,BUF,C,15,0,8,-1,4,0,0,0,0,1,17,189,3,1,0,3,hinosvi01
Hayden Hodgson,PHI,RW,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,hodgsha01
Mac Hollowell,TOR,D,6,0,2,3,2,0,0,0,0,0,4,78,6,3,0,0,holloma01
Simon Holmström,NYI,RW,8,0,1,1,0,0,0,0,0,0,3,89,2,0,0,3,holmssi01
Charles Hudon,COL,LW,3,0,0,-2,2,0,0,0,0,0,13,44,2,5,1,1,hudonch01
Quinn Hughes,VAN,D,23,0,25,0,8,0,0,0,13,0,43,574,26,1,0,0,hughequ01
Brad Hunt,COL,D,1,0,0,-1,0,0,0,0,0,0,1,10,0,0,0,0,huntbr01
Ben Hutton,VEG,D,3,0,0,-1,0,0,0,0,0,0,3,31,3,0,0,0,huttobe01
Matt Irwin,WSH,D,19,0,1,3,12,0,0,0,0,0,24,236,23,49,0,0,irwinma01
David Jiricek,CBJ,D,2,0,0,-4,2,0,0,0,0,0,4,31,4,5,0,0,jiricda01
Lucas Johansen,WSH,D,1,0,0,0,0,0,0,0,0,0,1,12,1,0,0,0,johanlu01
Erik Johnson,COL,D,25,0,5,7,6,0,0,0,0,0,41,429,50,44,0,0,johnser01
Jack Johnson,CHI,D,26,0,4,-11,10,0,0,0,0,1,32,529,47,34,0,0,johnsja02
Ross Johnston,NYI,LW,5,0,1,-1,14,0,0,0,0,0,2,44,2,11,1,0,johnsro02
Pierre-Olivier Joseph,PIT,D,23,0,7,12,12,0,0,0,0,0,32,342,8,34,0,0,joseppi01
Noah Juulsen,VAN,D,2,0,0,-1,0,0,0,0,0,0,1,22,3,4,0,0,juulsno01
Ondrej Kase,CAR,RW,1,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1,kaseon01
Parker Kelly,OTT,F,24,0,1,-4,18,0,0,0,0,0,16,209,9,54,2,4,kellypa01
Filip Kral,TOR,D,2,0,0,0,2,0,0,0,0,0,1,20,1,2,0,0,kralfi01
Maxime Lajoie,CAR,D,1,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,lajoima01
Jacob Larsson,OTT,D,3,0,0,-1,4,0,0,0,0,0,2,38,2,3,0,0,larssja01
Jeremy Lauzon,NSH,D,20,0,1,-4,32,0,0,0,0,0,20,318,21,66,0,0,lauzoje01
Nick Leddy,STL,D,27,0,9,-3,8,0,0,0,0,0,31,573,35,21,0,0,leddyni01
Brendan Lemieux,LAK,LW,15,0,3,-2,28,0,0,0,0,0,15,142,7,42,4,3,lemiebr01
Jake Leschyshyn,VEG,C,10,0,0,1,4,0,0,0,0,0,10,101,3,22,41,36,leschja01
Ryan Lindgren,NYR,D,27,0,8,7,31,0,0,0,0,0,38,493,48,35,0,0,lindgry01
Gustav Lindstrom,DET,D,14,0,1,-8,6,0,0,0,0,0,9,197,12,19,0,0,lindsgu01
William Lockwood,VAN,RW,1,0,1,1,0,0,0,0,0,0,1,10,2,2,0,0,lockwwi01
Milan Lucic,CGY,LW,27,0,5,-7,16,0,0,0,0,0,22,280,4,58,7,8,lucicmi01
Olle Lycksell,PHI,RW,1,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,lycksol01
Ilya Lyubushkin,BUF,D,17,0,1,0,18,0,0,0,0,0,8,262,27,36,0,0,lyubuil01
Kurtis MacDermid,COL,D,8,0,1,-1,14,0,0,0,0,0,3,63,1,22,0,0,macdeku01
Jacob MacDonald,COL,D,18,0,1,-3,7,0,0,0,0,0,21,201,11,20,0,0,macdoja02
Connor Mackey,CGY,D,5,0,1,-4,4,0,0,0,0,0,4,53,4,6,0,0,mackeco01
Brad Malone,EDM,C,9,0,0,-3,4,0,0,0,0,0,7,69,4,25,24,16,malonbr01
Mikhail Maltsev,COL,LW,5,0,0,0,0,0,0,0,0,0,4,33,2,4,14,13,maltsmi01
Kirill Marchenko,CBJ,RW,3,0,0,0,0,0,0,0,0,0,3,37,2,3,0,0,marchki01
Pat Maroon,TBL,LW,26,0,4,-6,42,0,0,0,1,0,25,250,2,51,2,4,maroopa01
Alec Martinez,VEG,D,29,0,4,8,12,0,0,0,0,0,23,577,115,16,0,0,martial01
Dysin Mayo,ARI,D,13,0,0,-7,6,0,0,0,0,0,6,156,18,28,0,0,mayody01
Ryan McDonagh,NSH,D,23,0,6,5,8,0,0,0,0,0,20,466,48,19,0,0,mcdonry01
Connor McMichael,WSH,C,6,0,0,0,5,0,0,0,0,0,2,53,3,2,2,1,mcmicco01
Brayden McNabb,VEG,D,29,0,9,14,12,0,0,0,0,2,40,583,66,68,0,0,mcnabbr01
Jaycob Megna,SJS,D,28,0,8,5,8,0,0,0,0,1,26,511,37,36,0,0,megnaja02
Jayson Megna,TOT,C,15,0,0,-2,2,0,0,0,0,0,6,112,2,21,36,37,megnaja01
Victor Mete,TOR,D,11,0,2,3,4,0,0,0,0,0,7,144,9,3,0,0,metevi01
Carson Meyer,CBJ,RW,4,0,0,-2,0,0,0,0,0,0,3,34,2,6,0,0,meyerca01
Niko Mikkola,STL,D,26,0,2,6,17,0,0,0,0,0,14,421,45,54,0,0,mikkoni01
Daniil Miromanov,VEG,D,4,0,0,-2,0,0,0,0,0,0,4,64,3,2,0,0,miromda01
Ian Mitchell,CHI,D,4,0,0,-6,0,0,0,0,0,0,1,63,2,0,0,0,mitchia01
Jacob Moverare,LAK,D,2,0,0,-1,0,0,0,0,0,0,6,30,4,3,0,0,moverja01
Ryan Murray,EDM,D,13,0,3,-4,4,0,0,0,0,0,8,171,12,11,0,0,murrary01
Jake Muzzin,TOR,D,4,0,1,0,2,0,0,0,0,0,8,67,10,11,0,0,muzzija01
Tyler Myers,VAN,D,24,0,5,5,41,0,0,0,0,0,30,486,36,30,0,0,myersty01
Patrik Nemeth,ARI,D,20,0,2,2,10,0,0,0,0,0,14,332,29,31,0,0,nemetpa01
Markus Niemeläinen,EDM,D,15,0,0,1,4,0,0,0,0,0,10,146,11,45,0,0,niemema01
Drew O'Connor,PIT,F,3,0,0,-1,0,0,0,0,0,0,4,26,1,8,9,9,oconndr01
Oskar Olausson,COL,RW,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,olausos01
Gustav Olofsson,SEA,D,1,0,0,1,0,0,0,0,0,0,2,10,0,0,0,0,olofsgu01
Dmitry Orlov,WSH,D,13,0,5,3,2,0,0,0,1,0,26,277,16,30,0,0,orlovdm01
Nic Petan,MIN,C,8,0,2,3,2,0,0,0,0,0,6,90,3,3,0,1,petanni01
Jacob Peterson,DAL,C,1,0,0,-2,0,0,0,0,0,0,1,12,1,0,0,0,peterja01
Marcus Pettersson,PIT,D,27,0,10,6,15,0,0,0,0,0,38,548,54,60,0,0,pettema01
Lawrence Pilut,BUF,D,14,0,1,-4,0,0,0,0,0,0,12,177,15,5,0,0,pilutla01
Vasily Podkolzin,VAN,RW,16,0,3,-2,9,0,0,0,0,0,18,201,7,21,2,4,podkova01
Tucker Poolman,VAN,D,3,0,1,1,0,0,0,0,0,0,3,42,2,2,0,0,poolmtu01
Samuel Poulin,PIT,RW,3,0,1,-3,2,0,0,0,1,0,2,30,1,3,8,9,poulisa01
Owen Power,BUF,D,27,0,10,9,14,0,0,0,2,1,36,638,33,10,0,0,powerow01
Sampo Ranta,COL,LW,5,0,0,0,2,0,0,0,0,0,5,36,2,7,0,1,rantasa01
Jack Rathbone,VAN,D,6,0,1,-3,0,0,0,0,0,0,7,93,3,1,0,0,rathbja01
Ryan Reaves,TOT,RW,19,0,3,-3,14,0,0,0,0,0,8,175,7,60,3,5,reavery01
Alec Regula,CHI,D,4,0,0,-3,4,0,0,0,0,0,2,66,8,4,0,0,regulal01
Lukas Reichel,CHI,LW,1,0,0,-1,0,0,0,0,0,0,0,14,0,0,3,1,reichlu01
Mike Reilly,BOS,D,10,0,1,0,2,0,0,0,0,0,12,167,10,21,0,0,reillmi01
Dan Renouf,BOS,D,1,0,0,-3,0,0,0,0,0,0,5,12,2,1,0,0,renouda01
Morgan Rielly,TOR,D,20,0,16,-1,7,0,0,0,6,0,34,460,24,22,0,0,riellmo01
Rasmus Ristolainen,PHI,D,21,0,0,-4,14,0,0,0,0,0,18,382,49,58,0,0,ristora01
Buddy Robinson,CHI,RW,1,0,0,-1,0,0,0,0,0,0,0,11,0,3,0,0,robinbu01
Alexander Romanov,NYI,D,28,0,8,4,19,0,0,0,0,0,38,557,58,76,0,0,romanal01
Kevin Rooney,CGY,C,17,0,1,-2,7,0,0,0,0,0,14,151,10,26,44,61,rooneke01
Marco Rossi,MIN,C,16,0,1,-4,6,0,0,0,0,0,11,199,7,4,56,67,rossima01
Chad Ruhwedel,PIT,D,11,0,1,3,6,0,0,0,0,0,8,145,7,13,0,0,ruhwech01
Jonas Røndbjerg,VEG,RW,1,0,0,-1,2,0,0,0,0,0,0,8,0,0,0,0,rondbjo01
Kevin Shattenkirk,ANA,D,24,0,8,-1,24,0,0,0,0,0,52,426,31,30,0,0,shattke01
Riley Sheahan,BUF,C,2,0,0,-2,4,0,0,0,0,0,0,17,1,0,7,3,sheahri01
Devin Shore,EDM,C,23,0,3,3,2,0,0,0,0,0,14,197,12,26,40,33,shorede01
Wayne Simmonds,TOR,RW,6,0,1,0,4,0,0,0,0,0,6,47,3,12,0,0,simmowa01
Brendan Smith,NJD,D,27,0,1,0,27,0,0,0,0,0,25,374,25,46,0,0,smithbr05
Cole Smith,NSH,F,24,0,6,2,28,0,0,0,0,0,21,281,6,66,0,3,smithco02
Givani Smith,DET,RW,2,0,0,-3,0,0,0,0,0,0,3,20,1,4,0,0,smithgi01
Joe Snively,WSH,F,5,0,1,-1,0,0,0,0,0,0,9,60,2,2,1,0,snivejo01
Nikita Soshnikov,NYI,RW,3,0,0,-2,0,0,0,0,0,0,4,30,0,8,0,1,soshnni01
Eric Staal,FLA,C,20,0,3,-4,2,0,0,0,0,0,29,258,12,7,97,126,staaler01
Marc Staal,FLA,D,27,0,4,-3,6,0,0,0,0,0,21,482,33,52,0,0,staalma01
Logan Stanley,WPG,D,7,0,1,0,6,0,0,0,0,0,5,95,8,20,0,0,stanllo01
Paul Stastny,CAR,C,25,0,6,-2,12,0,0,0,1,0,22,272,4,12,60,36,stastpa01
Troy Stecher,ARI,D,25,0,2,-3,19,0,0,0,0,0,31,427,37,25,0,0,stechtr01
Derek Stepan,CAR,C,23,0,1,-1,4,0,0,0,0,0,38,206,6,8,72,69,stepade01
Riley Stillman,VAN,D,15,0,3,-5,14,0,0,0,0,0,17,227,13,22,0,0,stillri01
Anton Stralman,BOS,D,8,0,0,-3,2,0,0,0,0,0,3,123,10,12,0,0,stralan01
Austin Strand,ANA,D,5,0,0,-2,2,0,0,0,0,0,5,62,4,5,0,0,stranau01
C.J. Suess,SJS,LW,1,0,0,-1,2,0,0,0,0,0,0,6,0,1,0,1,frankcl01
Ryan Suter,DAL,D,27,0,4,-6,14,0,0,0,1,0,30,592,42,36,0,0,suterry01
Chris Tanev,CGY,D,22,0,5,0,4,0,0,0,0,0,20,442,49,19,0,0,tanevch01
Teuvo Teravainen,CAR,F,16,0,7,1,2,0,0,0,1,0,35,263,4,8,7,4,teravte01
Lassi Thomson,OTT,D,2,0,0,-2,4,0,0,0,0,0,1,22,0,2,0,0,thomsla01
Conor Timmins,TOT,D,4,0,1,-1,0,0,0,0,1,0,4,48,1,5,0,0,timmico01
Dominic Toninato,WPG,C,4,0,1,1,2,0,0,0,0,0,5,28,1,4,3,5,tonindo01
