Player,Tm,Pos,GP,G,A,+/-,PIM,PP,SH,GW,PP,SH,S,TOI,BLK,HIT,FOW,FOL,-9999
Charlie Coyle,BOS,C,26,7,6,11,10,0,1,0,0,1,46,436,19,21,156,132,coylech01
Phillip Danault,LAK,C,29,7,12,-1,18,1,0,1,6,1,50,528,27,31,251,230,danauph01
Adam Fox,NYR,D,29,7,23,6,8,1,0,3,9,1,61,731,42,14,0,0,foxad01
Dougie Hamilton,NJD,D,27,7,14,17,16,2,0,3,8,0,97,587,26,24,0,0,hamildo01
Ryan Johansen,NSH,C,24,7,7,-4,16,2,0,1,4,0,35,390,13,24,241,149,johanry01
Wyatt Johnston,DAL,C,27,7,5,-2,10,1,0,0,1,0,52,383,12,4,23,42,johnswy01
Clayton Keller,ARI,C,25,7,16,-7,10,3,0,0,4,0,47,492,10,7,6,19,kellecl01
Anze Kopitar,LAK,C,29,7,17,1,2,1,0,1,5,0,55,580,36,30,322,220,kopitan01
Sean Kuraly,CBJ,C,24,7,3,-6,24,0,1,0,0,0,39,333,24,62,198,192,kuralse01
Patrik Laine,CBJ,RW,13,7,3,-2,8,0,0,0,1,0,52,259,7,9,9,7,lainepa01
Artturi Lehkonen,COL,LW,22,7,11,2,12,4,0,2,8,0,55,462,19,25,0,11,lehkoar01
Eetu Luostarinen,FLA,C,27,7,8,9,8,0,0,1,1,0,44,403,17,13,22,46,luostee01
Anthony Mantha,WSH,RW,29,7,8,-5,10,1,0,1,1,0,52,424,10,29,3,3,manthan01
Jordan Martinook,CAR,LW,26,7,6,6,18,0,0,1,0,0,53,384,10,34,11,12,martijo01
Dawson Mercer,NJD,C,27,7,9,4,10,1,1,2,3,0,53,409,20,11,30,41,merceda01
Trevor Moore,LAK,LW,29,7,11,-1,2,1,1,1,5,0,91,515,8,33,6,16,mooretr01
Valeri Nichushkin,COL,RW,8,7,5,2,0,5,1,1,1,1,29,165,5,12,0,1,nichuva01
Jean-Gabriel Pageau,NYI,C,28,7,9,-5,2,4,1,2,2,0,49,508,21,77,309,240,pageaje01
Lucas Raymond,DET,LW,26,7,9,-2,12,4,0,3,4,0,50,463,4,9,2,3,raymolu01
Sam Reinhart,FLA,C,27,7,9,-6,4,5,0,0,2,1,79,530,15,14,46,61,reinhsa01
Bryan Rust,PIT,RW,27,7,9,-9,11,1,0,0,3,0,74,472,8,34,2,2,rustbr01
Ryan Strome,ANA,C,28,7,7,-12,21,1,0,2,0,0,42,481,10,12,183,252,stromry01
Nico Sturm,SJS,C,22,7,2,-2,6,0,0,0,0,0,36,321,15,32,121,82,sturmni01
Vladimir Tarasenko,STL,RW,25,7,13,-11,8,0,0,0,5,0,64,444,10,24,0,2,tarasvl01
Tomas Tatar,NJD,LW,27,7,9,19,14,0,0,0,0,0,54,404,16,23,7,12,tatarto01
Owen Tippett,PHI,RW,23,7,4,-14,8,4,0,1,0,0,51,373,19,46,8,2,tippeow01
Oliver Wahlstrom,NYI,RW,27,7,7,5,30,1,0,1,0,0,62,336,13,32,6,13,wahlsol01
Andreas Athanasiou,CHI,C,26,6,3,-6,20,1,0,0,1,0,49,419,22,10,6,17,athanan01
Drake Batherson,OTT,C,26,6,15,-18,10,4,0,0,6,0,76,474,8,38,8,15,bathedr01
Thomas Chabot,OTT,D,21,6,9,-2,20,4,0,0,3,0,51,549,30,27,0,0,chaboth01
Ross Colton,TBL,C,25,6,5,-6,14,2,0,1,2,0,38,289,9,54,51,45,coltoro01
Alex DeBrincat,OTT,RW,26,6,15,-6,8,3,0,1,9,0,90,505,16,34,2,1,debrial01
Matt Duchene,NSH,C,24,6,15,-4,22,2,0,1,3,0,58,441,15,5,37,31,duchema01
Jordan Eberle,SEA,RW,26,6,16,3,10,1,0,1,5,0,52,422,5,14,6,5,eberljo01
Trent Frederic,BOS,C,23,6,5,13,18,0,0,3,0,0,30,241,6,30,2,5,fredetr01
Barclay Goodrow,NYR,RW,29,6,7,-5,32,0,0,1,1,1,39,430,19,45,106,116,goodrba01
Shayne Gostisbehere,ARI,D,25,6,14,-7,8,2,1,1,4,0,52,540,34,13,0,0,gostish01
Carl Grundstrom,LAK,RW,28,6,3,-6,2,1,0,1,0,0,46,339,6,80,1,3,grundca01
Filip Hronek,DET,D,26,6,18,11,24,2,0,1,8,0,56,580,21,39,0,0,hronefi01
Marcus Johansson,WSH,C,29,6,7,-4,4,3,0,2,5,0,47,467,9,12,10,10,johanma03
Kent Johnson,CBJ,C,23,6,7,-4,2,2,0,0,2,0,29,298,10,6,1,3,johnske01
Dakota Joshua,VAN,C,24,6,2,-1,37,1,0,0,0,0,24,245,4,55,7,7,joshuda01
Roman Josi,NSH,D,24,6,14,-4,10,4,0,2,6,0,105,602,61,19,0,0,josiro01
William Karlsson,VEG,C,29,6,12,2,2,1,0,1,3,2,61,510,20,19,249,182,karlswi01
Kevin Labanc,SJS,RW,29,6,11,-4,16,1,0,0,1,0,55,450,12,18,0,0,labanke01
Adam Lowry,WPG,LW,26,6,10,6,6,0,2,0,1,0,45,396,13,51,206,202,lowryad01
Cale Makar,COL,D,25,6,18,2,14,4,0,2,11,0,75,675,38,32,0,0,makarca01
Andrew Mangiapane,CGY,LW,27,6,5,-6,10,0,0,1,0,2,51,444,11,36,1,2,mangian01
Sean Monahan,MTL,C,25,6,11,-5,16,1,0,0,3,0,55,434,8,10,177,144,monahse01
Alex Newhook,COL,C,25,6,4,-3,8,1,0,0,0,0,35,372,6,19,46,100,newhoal01
Matthew Nieto,SJS,LW,28,6,5,-8,6,0,0,1,1,0,47,432,13,22,3,2,nietoma01
Gustav Nyquist,CBJ,RW,26,6,7,-1,14,0,0,0,0,0,48,453,15,16,9,13,nyquigu01
Kyle Palmieri,NYI,RW,20,6,3,-2,6,1,0,1,1,0,37,327,6,31,5,10,palmiky01
Artemi Panarin,NYR,LW,29,6,28,-6,12,1,0,1,15,0,71,593,4,6,0,2,panarar01
Cole Perfetti,WPG,C,26,6,12,6,14,0,0,0,3,0,50,391,13,18,2,4,perfeco01
John-Jason Peterka,BUF,RW,27,6,8,2,14,0,0,1,2,0,42,388,3,5,0,1,peterjo01
Jack Quinn,BUF,RW,22,6,10,4,0,1,0,1,5,0,36,305,2,14,6,10,quinnja01
Nick Ritchie,ARI,LW,22,6,4,-7,20,4,0,2,2,0,27,302,6,51,1,4,ritchni01
Evan Rodrigues,COL,C,18,6,3,-3,8,4,0,0,0,0,48,326,5,12,50,53,rodriev01
Adam Ruzicka,CGY,C,17,6,9,4,2,2,0,2,1,0,26,235,3,18,13,18,ruzicad01
Brayden Schenn,STL,C,27,6,14,-13,19,1,0,0,3,0,42,476,6,46,78,102,schenbr01
Jordan Staal,CAR,C,26,6,3,3,8,0,0,1,0,0,40,423,9,57,249,219,staaljo01
Chandler Stephenson,VEG,C,29,6,16,10,14,2,1,3,3,1,50,569,21,39,237,136,stephch02
Dylan Strome,WSH,C,29,6,16,-9,10,2,0,1,9,0,58,495,13,7,192,203,stromdy01
