Name,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
Juan Minaya,MIN,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,minayju01
Mike Minor,KCR,AL,3,7,7,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,0,0,0,minormi01
A.J. Minter*,ATL,NL,57,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,minteaj01
Anthony Misiewicz,SEA,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,misiean01
Bryan Mitchell*,MIA,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,mitchbr01
Casey Mize,DET,AL,2,3,2,0,0,0,0,0,1,0,0,1,1,.000,.333,.000,.333,7,0,0,0,0,0,0,mizeca01
Yadier Molina,STL,NL,121,473,440,45,111,19,0,11,66,3,0,24,79,.252,.297,.370,.667,84,163,16,5,0,3,1,molinya01
Yoán Moncada#,CHW,AL,144,616,520,74,137,33,1,14,61,3,2,84,157,.263,.375,.412,.787,116,214,6,10,0,2,1,moncayo01
Adalberto Mondesí#,KCR,AL,35,136,126,19,29,8,1,6,17,15,1,6,43,.230,.271,.452,.723,92,57,2,1,3,0,0,mondera02
Mickey Moniak*,PHI,NL,21,37,33,3,3,0,0,1,3,0,0,3,16,.091,.167,.182,.348,-5,6,0,0,1,0,1,moniami01
Frankie Montas,OAK,AL,2,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,montafr02
Rafael Montero,TOT,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,montera01
Rafael Montero,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,montera01
Rafael Montero,HOU,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,montera01
Jordan Montgomery*,NYY,AL,3,4,4,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,0,0,0,montgjo01
Dylan Moore,SEA,AL,126,377,332,42,60,11,2,12,43,21,5,40,111,.181,.276,.334,.610,71,111,6,4,0,1,0,mooredy01
Matt Moore*,PHI,NL,22,20,19,0,0,0,0,0,0,0,0,0,13,.000,.000,.000,.000,-100,0,0,0,1,0,0,moorema02
Colin Moran*,PIT,NL,99,359,318,29,82,12,0,10,50,1,0,36,87,.258,.334,.390,.724,96,124,6,2,0,3,0,moranco01
Adrián Morejón*,SDP,NL,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,morejad01
Mitch Moreland*,OAK,AL,81,252,229,28,52,11,1,10,30,0,0,18,58,.227,.286,.415,.701,94,95,5,2,0,3,0,morelmi01
Dauri Moreta,CIN,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,moretda01
Adam Morgan*,CHC,NL,32,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,morgaad01
Eli Morgan,CLE,AL,1,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,morgael01
Shawn Morimando*,MIA,NL,4,3,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,1,0,0,morimsh01
Max Moroff#,STL,NL,6,16,16,0,1,0,0,0,1,0,0,0,10,.063,.063,.063,.125,-65,1,0,0,0,0,0,morofma01
Reyes Moronta,SFG,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,moronre01
Charlie Morton,ATL,NL,31,62,55,5,7,1,0,0,1,0,0,0,31,.127,.127,.145,.273,-28,8,0,0,7,0,0,mortoch02
Taylor Motter,TOT,MLB,16,29,26,5,5,1,1,0,1,0,0,3,8,.192,.276,.308,.584,51,8,1,0,0,0,0,motteta01
Taylor Motter,COL,NL,13,22,20,2,3,0,0,0,0,0,0,2,6,.150,.227,.150,.377,0,3,1,0,0,0,0,motteta01
Taylor Motter,BOS,AL,3,7,6,3,2,1,1,0,1,0,0,1,2,.333,.429,.833,1.262,226,5,0,0,0,0,0,motteta01
Ryan Mountcastle,BAL,AL,144,586,534,77,136,23,1,33,89,4,3,41,161,.255,.309,.487,.796,114,260,12,4,0,7,2,mountry01
Mike Moustakas*,CIN,NL,62,206,183,21,38,12,0,6,22,0,0,18,46,.208,.282,.372,.653,68,68,6,2,0,3,0,moustmi01
Kyle Muller,ATL,NL,9,13,11,0,1,0,0,0,0,0,0,1,7,.091,.167,.091,.258,-28,1,0,0,1,0,0,mulleky01
Cedric Mullins*,BAL,AL,159,675,602,91,175,37,5,30,59,30,8,59,125,.291,.360,.518,.878,137,312,2,8,1,4,3,mullice01
Max Muncy*,LAD,NL,144,592,497,95,124,26,2,36,94,2,1,83,120,.249,.368,.527,.895,135,262,7,11,0,1,5,muncyma01
Yairo Munoz,BOS,AL,5,11,11,0,1,0,0,0,0,0,0,0,2,.091,.091,.091,.182,-51,1,0,0,0,0,0,munozya01
Patrick Murphy,TOT,MLB,17,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,murphpa02
Patrick Murphy,WSN,NL,17,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,murphpa02
Sean Murphy,OAK,AL,119,448,393,47,85,23,0,17,59,0,0,40,114,.216,.306,.405,.710,98,159,7,12,0,3,0,murphse01
Tom Murphy,SEA,AL,97,325,277,35,56,8,0,11,34,0,0,40,99,.202,.304,.350,.655,84,97,8,2,0,3,0,murphto04
Joe Musgrove,SDP,NL,36,57,51,2,7,2,0,0,1,0,0,1,23,.137,.151,.176,.327,-9,9,0,0,4,1,0,musgrjo01
Wil Myers,SDP,NL,146,500,442,56,113,24,2,17,63,8,5,54,141,.256,.334,.434,.768,113,192,9,0,0,4,2,myerswi01
Tommy Nance,CHC,NL,27,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,nanceto01
Tyler Naquin*,CIN,NL,127,454,411,52,111,24,2,19,70,5,3,35,106,.270,.333,.477,.809,107,196,9,5,0,3,1,naquity01
Omar Narváez*,MIL,NL,123,445,391,54,104,20,0,11,49,0,0,41,84,.266,.342,.402,.743,101,157,13,7,0,6,3,narvaom01
Packy Naughton,LAA,AL,2,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,naughpa01
Josh Naylor*,CLE,AL,69,250,233,28,59,13,0,7,21,1,0,14,45,.253,.301,.399,.700,91,93,7,2,0,0,1,naylojo01
Nick Neidert,MIA,NL,8,12,11,0,0,0,0,0,0,0,0,1,5,.000,.083,.000,.083,-74,0,0,0,0,0,0,neideni01
Jimmy Nelson,LAD,NL,26,3,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,nelsoji02
Kyle Nelson*,CLE,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,nelsoky01
Héctor Neris,PHI,NL,70,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,nerishe01
