Name,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
Ke'Bryan Hayes,PIT,NL,24,95,85,17,32,7,2,5,11,1,0,9,20,.376,.442,.682,1.124,201,58,2,1,0,0,2,hayeske01
Austin Hays,BAL,AL,33,134,122,20,34,2,0,4,9,2,3,8,25,.279,.328,.393,.722,96,48,1,2,0,2,0,haysau01
Ryon Healy,MIL,NL,4,7,7,0,1,0,0,0,0,0,0,0,2,.143,.143,.143,.286,-23,1,0,0,0,0,0,healyry01
Nick Heath*,KCR,AL,15,18,13,2,2,1,0,0,3,2,2,2,6,.154,.313,.231,.543,51,3,0,1,1,0,0,heathni01
Adeiny Hechavarria,ATL,NL,27,63,59,7,15,3,0,0,2,0,0,4,12,.254,.302,.305,.607,61,18,1,0,0,0,0,hechaad01
Austin Hedges,TOT,MLB,35,83,69,7,10,1,0,3,6,1,1,6,23,.145,.231,.290,.521,44,20,3,2,5,1,0,hedgeau01
Austin Hedges,SDP,NL,29,71,57,7,9,1,0,3,6,1,1,6,18,.158,.258,.333,.591,63,19,3,2,5,1,0,hedgeau01
Austin Hedges,CLE,AL,6,12,12,0,1,0,0,0,0,0,0,0,5,.083,.083,.083,.167,-54,1,0,0,0,0,0,hedgeau01
Jonah Heim#,OAK,AL,13,41,38,5,8,0,0,0,5,0,0,3,3,.211,.268,.211,.479,37,8,1,0,0,0,0,heimjo01
Scott Heineman,TEX,AL,24,54,52,6,8,3,0,1,7,3,0,2,11,.154,.185,.269,.454,24,14,1,0,0,0,0,heinesc01
Tyler Heineman#,SFG,NL,15,50,42,3,8,1,0,0,1,1,0,4,6,.190,.292,.214,.506,44,9,0,2,2,0,0,heinety01
Kyle Hendricks,CHC,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,hendrky01
Guillermo Heredia,TOT,NL,15,36,33,6,7,0,0,2,5,1,0,3,9,.212,.278,.394,.672,82,13,0,0,0,0,0,heredgu01
Guillermo Heredia,PIT,NL,8,18,16,2,3,0,0,0,2,1,0,2,4,.188,.278,.188,.465,31,3,0,0,0,0,0,heredgu01
Guillermo Heredia,NYM,NL,7,18,17,4,4,0,0,2,3,0,0,1,5,.235,.278,.588,.866,130,10,0,0,0,0,0,heredgu01
Michael Hermosillo,LAA,AL,7,10,8,0,2,0,0,0,2,1,0,1,1,.250,.300,.250,.550,54,2,0,0,0,1,0,hermomi01
César Hernández#,CLE,AL,58,261,233,35,66,20,0,3,20,0,0,24,57,.283,.355,.408,.763,109,95,3,2,1,0,0,hernace02
Enrique Hernández,LAD,NL,48,148,139,20,32,8,1,5,20,0,1,6,31,.230,.270,.410,.680,81,57,5,2,0,1,0,hernaen02
Óscar Hernández,KCR,AL,4,4,4,1,2,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,173,2,1,0,0,0,0,hernaos01
Teoscar Hernández,TOR,AL,50,207,190,33,55,7,0,16,34,6,1,14,63,.289,.340,.579,.919,146,110,4,1,0,1,0,hernate01
Yadiel Hernández*,WSN,NL,12,28,26,3,5,3,0,1,6,0,0,1,12,.192,.214,.423,.637,67,11,0,0,0,1,0,hernaya01
Dilson Herrera,BAL,AL,3,6,5,0,0,0,0,0,0,0,0,0,4,.000,.167,.000,.167,-48,0,0,1,0,0,0,herredi01
Jason Heyward*,CHC,NL,50,181,147,20,39,6,2,6,22,2,0,30,37,.265,.392,.456,.848,129,67,1,2,0,2,1,heywaja01
Aaron Hicks#,NYY,AL,54,211,169,28,38,10,2,6,21,4,1,41,38,.225,.379,.414,.793,122,70,4,1,0,0,1,hicksaa01
Kyle Higashioka,NYY,AL,16,48,48,7,12,1,0,4,10,0,0,0,11,.250,.250,.521,.771,107,25,0,0,0,0,0,higasky01
Derek Hill,DET,AL,15,12,11,3,1,0,0,0,0,0,0,1,6,.091,.167,.091,.258,-26,1,0,0,0,0,0,hillde01
Tim Hill,SDP,NL,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,hillti01
Sam Hilliard*,COL,NL,36,114,105,13,22,2,2,6,10,3,0,9,42,.210,.272,.438,.710,77,46,0,0,0,0,0,hillisa01
Keston Hiura,MIL,NL,59,246,217,30,46,4,0,13,32,3,2,16,85,.212,.297,.410,.707,87,89,7,11,0,2,2,hiurake01
Nico Hoerner,CHC,NL,48,126,108,19,24,4,0,0,13,3,2,12,24,.222,.312,.259,.571,57,28,3,3,0,2,0,hoernni01
Bryan Holaday,BAL,AL,20,33,31,5,5,1,0,0,4,0,0,2,9,.161,.212,.194,.406,12,6,1,0,0,0,0,holadbr01
Jonathan Holder,NYY,AL,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,holdejo02
Brock Holt*,TOT,NL,36,106,95,12,20,6,0,0,5,1,0,9,24,.211,.283,.274,.557,52,26,3,1,0,1,0,holtbr01
Brock Holt*,MIL,NL,16,36,30,1,3,0,0,0,1,0,0,4,9,.100,.222,.100,.322,-9,3,2,1,0,1,0,holtbr01
Brock Holt*,WSN,NL,20,70,65,11,17,6,0,0,4,1,0,5,15,.262,.314,.354,.668,81,23,1,0,0,0,0,holtbr01
Rhys Hoskins,PHI,NL,41,185,151,35,37,9,0,10,26,1,0,29,43,.245,.384,.503,.887,138,76,4,5,0,0,0,hoskirh01
